date	ebp	gs1	ff4_tc	logip	logcpi
1990m1	0.3196	7.92	0	414.9823418	484.8116365
1990m2	0.4342	8.11	-0.015	415.9579716	485.2030264
1990m3	0.4659	8.35	-0.0076	416.4461246	485.6706812
1990m4	0.2043	8.4	-0.0174	416.2940466	485.903691
1990m5	0.0998	8.32	0	416.5071707	486.0587298
1990m6	0.1544	8.1	0	416.8277876	486.6764924
1990m7	0.0759	7.94	-0.0665	416.6983003	487.1373227
1990m8	-0.2019	7.78	-0.0335	417.0264939	487.9767019
1990m9	-0.0007	7.76	0	417.1529344	488.6582645
1990m10	0.2263	7.55	-0.0113	416.3985668	489.3352133
1990m11	0.3011	7.31	-0.013	415.222503	489.5598484
1990m12	0.3957	7.05	-0.0957	414.566169	489.9331225
1991m1	0.4334	6.64	-0.1674	414.1310842	490.3050083
1991m2	0.3359	6.27	-0.2304	413.4305386	490.3792198
1991m3	0.2675	6.4	-0.0363	412.90519	490.3792198
1991m4	0.2213	6.24	-0.0321	413.102198	490.6015245
1991m5	0.2072	6.13	-0.1946	414.0983207	490.9709376
1991m6	0.1104	6.36	-0.009	415.005044	491.2654886
1991m7	0.2234	6.31	0.0087	415.124146	491.4124394
1991m8	0.1598	5.78	-0.0803	415.2096041	491.7056947
1991m9	0.1793	5.57	0.0016	416.0959052	491.9980926
1991m10	0.1805	5.33	-0.0026	415.921584	492.1439715
1991m11	0.1867	4.89	-0.1374	415.8070253	492.5803359
1991m12	0.2206	4.38	-0.1206	415.4085657	492.8701911
1992m1	0.0753	4.15	-0.1494	414.8475992	492.9425239
1992m2	0.1163	4.29	0	415.5613682	493.1592087
1992m3	0.0591	4.63	0	416.3889281	493.5193099
1992m4	0.0554	4.3	-0.1493	417.1441397	493.7347498
1992m5	0.0191	4.19	-0.0468	417.4697991	493.9497266
1992m6	-0.0002	4.17	0.0061	417.4841013	494.2356453
1992m7	-0.0722	3.6	-0.2903	418.3837857	494.5207489
1992m8	0.1035	3.47	-0.0055	417.8904743	494.7340444
1992m9	0.1941	3.18	0.0148	418.1225375	494.9468859
1992m10	0.14	3.3	0.0091	418.8698224	495.3712147
1992m11	0.0728	3.68	0.0019	419.2943268	495.6531035
1992m12	0.1372	3.71	-0.0029	419.3845947	495.7937505
1993m1	0.0858	3.5	-0.0071	419.8168398	496.144505
1993m2	0.054	3.39	-0.0179	420.2591907	496.3543687
1993m3	0.0276	3.33	-0.0021	420.1190973	496.4940335
1993m4	0.0536	3.24	0	420.4692619	496.8423445
1993m5	0.0256	3.36	-0.0084	420.1214937	497.1201225
