month	i_1YR	unempl	fxbis	gdp	corp_spread	mortg_spread	cred	equity	tb	CPI	us_baa	cm2	cloyne
1979-07-01	0.12089376	0.05	4.994530683	3.95442985	0.762165644	-0.59	2.412960677	2.066744711					0
1979-08-01	0.12102942	0.051	4.987977623	3.940438613	0.602165644	-0.51	2.416442067	2.072041118					0
1979-09-01	0.12382271	0.051	4.962826677	3.940448989	0.322165644	-0.81	2.410462527	2.087363998					0
1979-10-01	0.12780256	0.051	4.945377584	3.947464237	0.092165644	-1.34	2.419716939	2.094541062					0
1979-11-01	0.14210434	0.052	4.941350081	3.958395059	-0.067834356	0.24	2.432929527	1.98683816					2.255388757
1979-12-01	0.1428948	0.053	4.956473112	3.958247614	0.392165644	-0.02	2.430028338	2.007854695					0
1980-01-01	0.14115453	0.054	4.979976514	3.953117871	0.752165644	0.59	2.423282801	2.05068507					0
1980-02-01	0.14778	0.055	5.000516559	3.942958993	0.192165644	0.26	2.420076634	2.119262745					0
1980-03-01	0.15038608	0.057	5.002547548	3.939254322	0.332165644	0.07	2.416341374	2.081746006					0
1980-04-01	0.14471009	0.058	5.012835437	3.924910919	0.782165644	0.58	2.422233218	2.072041118					0
1980-05-01	0.13692189	0.06	5.014647618	3.924843321	0.662165644	0.89	2.429388454	2.084960151					0
1980-06-01	0.13295322	0.062	5.014647618	3.93312634	0.612165644	1.22	2.434492689	2.131589558					0
1980-07-01	0.12902775	0.065	5.021992065	3.928955633	0.802165644	1.92	2.455636493	2.204301894					-0.441648562
1980-08-01	0.13587317	0.068	5.036457826	3.926505536	0.262165644	1.3	2.464071861	2.21033563					0
1980-09-01	0.12932128	0.071	5.045652425	3.921539717	0.662165644	1.53	2.46112308	2.244083832					0
1980-10-01	0.1265185	0.074	5.064038036	3.918415159	0.752165644	1.8	2.47526578	2.264738029					0
1980-11-01	0.13081274	0.077	5.083239504	3.91507983	0.622165644	1.66	2.458859588	2.286942752					-0.552882505
1980-12-01	0.12813729	0.079	5.078337088	3.907917877	0.372165644	0.22	2.462666167	2.245451354					0
1981-01-01	0.12654555	0.083	5.10957563	3.908426844	0.452165644	0.03	2.479545268	2.217739155					0
1981-02-01	0.12028847	0.086	5.108222171	3.907807341	0.482165644	0.16	2.464746343	2.253956253					0
1981-03-01	0.11766685	0.088	5.080700511	3.907260878	0.842165644	-0.66	2.462943468	2.274077656					-1.127793059
1981-04-01	0.11702535	0.091	5.078215736	3.9078829	0.972165644	-0.66	2.459984243	2.336809267					0
1981-05-01	0.12149355	0.093	5.079549797	3.903286185	0.772165644	-1.4	2.457008059	2.339300704					0
1981-06-01	0.12392124	0.094	5.05071731	3.918261423	0.922165644	-1.69	2.460502344	2.325204934					0
1981-07-01	0.12955245	0.095	5.021927874	3.920382984	0.922165644	-2.28	2.466994105	2.320144835					0
1981-08-01	0.13186832	0.096	5.012900214	3.925774877	1.072165644	-2.23	2.490774448	2.364182958					0.225972754
1981-09-01	0.13634341	0.097	4.975884608	3.924949159	1.102165644	-2.81	2.491713332	2.298673092					0.869479211
1981-10-01	0.14707139	0.098	4.973192273	3.93168822	1.132165644	-1.34	2.494921966	2.224041696					0.173202894
1981-11-01	0.13769059	0.099	4.991292616	3.92396305	1.112165644	-0.72	2.512152362	2.286287014					0
1981-12-01	0.14227999	0.099	5.001237705	3.915397786	0.772165644	-1	2.516670991	2.302875458					-0.200344382
1982-01-01	0.14167741	0.101	5.0051621	3.922823699	1.052165644	-0.94	2.523448892	2.317605151					0
